n,key,year
10371,a,1272
8296,a,1273
7093,a,1274
9190,a,1275
10287,a,1276
10424,a,1277
10466,a,1278
10065,a,1279
6792,a,1280
4379,a,1281
2405,a,1282
5072,a,1283
6210,a,1284
7146,a,1285
7672,a,1286
6214,a,1287
4134,a,1288
3769,a,1289
6649,a,1290
7890,a,1291
8465,a,1292
5947,a,1293
1393,a,1294
2421,a,1295
7843,a,1296
5924,a,1297
7056,a,1298
8804,a,1299
9303,a,1300
4342,a,1301
5457,a,1302
8179,a,1303
9376,a,1304
9740,a,1305
10105,a,1306
10343,a,1307
7716,a,1308
7702,a,1309
9574,a,1310
10300,a,1311
10735,a,1312
6807,a,1313
9259,a,1314
6856,a,1315
6264,a,1316
9240,a,1317
9850,a,1318
10279,a,1319
9132,a,1320
8836,a,1321
6763,a,1322
2175,a,1323
2902,a,1324
7785,a,1325
8053,a,1326
8327,a,1327
8555,a,1328
6436,a,1329
6332,a,1330
8251,a,1331
8538,a,1332
9390,a,1333
9328,a,1334
9677,a,1335
7516,a,1336
7025,a,1337
9114,a,1338
10003,a,1339
9418,a,1340
9420,a,1341
9567,a,1342
7213,a,1343
6902,a,1344
9322,a,1345
4640,a,1346
3628,a,1347
3259,a,1348
3623,a,1349
4686,a,1350
5414,a,1351
6201,a,1352
7688,a,1353
9643,a,1354
9583,a,1355
4830,a,1356
3934,a,1357
4569,a,1358
8570,a,1359
9342,a,1360
3246,a,1361
9075,a,1362
7983,a,1363
5178,a,1364
6422,a,1365
5864,a,1366
8078,a,1367
8813,a,1368
9530,a,1369
7125,a,1370
5025,a,1371
5279,a,1372
7538,a,1373
8187,a,1374
7477,a,1375
4256,a,1376
3244,a,1377
3949,a,1378
5282,a,1379
9154,a,1380
9391,a,1381
9890,a,1382
11114,a,1383
8409,a,1384
5318,a,1385
7542,a,1386
6936,a,1387
3069,a,1388
8679,a,1389
7128,a,1390
8675,a,1391
7998,a,1392
7596,a,1393
9960,a,1394
11570,a,1395
12695,a,1396
12700,a,1397
12327,a,1398
9124,a,1399
9430,a,1400
11598,a,1401
13029,a,1402
13752,a,1403
13563,a,1404
12621,a,1405
7440,a,1406
3857,a,1407
5754,a,1408
6087,a,1409
7139,a,1410
11025,a,1411
11852,a,1412
9577,a,1413
8973,a,1414
10568,a,1415
11891,a,1416
13235,a,1417
13747,a,1418
13109,a,1419
8823,a,1420
7945,a,1421
10763,a,1422
9540,a,1423
12986,a,1424
13565,a,1425
12004,a,1426
9989,a,1427
9381,a,1428
11898,a,1429
12290,a,1430
12829,a,1431
13333,a,1432
8072,a,1433
9859,a,1434
10283,a,1435
6430,a,1436
9547,a,1437
11511,a,1438
13318,a,1439
13383,a,1440
7636,a,1441
9547,a,1442
12275,a,1443
12633,a,1444
11200,a,1445
13818,a,1446
8011,a,1447
9183,a,1448
8248,a,1449
11745,a,1450
13041,a,1451
13735,a,1452
13533,a,1453
13367,a,1454
9795,a,1455
8967,a,1456
12770,a,1457
13960,a,1458
14510,a,1459
14642,a,1460
13818,a,1461
9640,a,1462
8845,a,1463
13499,a,1464
13980,a,1465
14741,a,1466
14767,a,1467
13748,a,1468
9469,a,1469
8834,a,1470
12952,a,1471
14076,a,1472
14027,a,1473
13909,a,1474
12641,a,1475
8619,a,1476
8024,a,1477
12672,a,1478
13660,a,1479
13709,a,1480
13771,a,1481
12536,a,1482
8379,a,1483
8030,a,1484
11963,a,1485
13180,a,1486
13740,a,1487
13626,a,1488
12261,a,1489
8145,a,1490
7449,a,1491
11845,a,1492
12574,a,1493
12674,a,1494
12655,a,1495
11566,a,1496
8226,a,1497
8006,a,1498
11872,a,1499
12697,a,1500
12491,a,1501
11728,a,1502
10204,a,1503
6763,a,1504
6594,a,1505
9266,a,1506
10156,a,1507
10258,a,1508
10322,a,1509
9008,a,1510
6479,a,1511
6266,a,1512
8562,a,1513
9163,a,1514
7071,a,1515
8984,a,1516
8177,a,1517
6117,a,1518
6315,a,1519
9530,a,1520
10128,a,1521
10721,a,1522
10992,a,1523
10239,a,1524
7514,a,1525
7344,a,1526
11352,a,1527
12281,a,1528
12834,a,1529
13080,a,1530
12654,a,1531
9714,a,1532
9326,a,1533
13599,a,1534
14926,a,1535
15146,a,1536
15479,a,1537
13642,a,1538
8618,a,1539
10303,a,1540
14666,a,1541
15682,a,1542
16276,a,1543
16385,a,1544
15996,a,1545
11525,a,1546
11142,a,1547
14525,a,1548
15270,a,1549
16454,a,1550
16733,a,1551
15806,a,1552
11822,a,1553
11541,a,1554
14773,a,1555
15833,a,1556
15276,a,1557
16192,a,1558
15724,a,1559
12143,a,1560
11363,a,1561
14401,a,1562
15024,a,1563
15920,a,1564
15749,a,1565
15299,a,1566
12160,a,1567
10212,a,1568
13446,a,1569
11694,a,1570
12504,a,1571
11804,a,1572
8041,a,1573
9386,a,1574
7086,a,1575
10762,a,1576
13710,a,1577
14528,a,1578
12893,a,1579
7284,a,1580
8605,a,1581
9197,a,1582
13353,a,1583
14218,a,1584
14342,a,1585
14769,a,1586
11513,a,1587
6700,a,1588
6957,a,1589
10281,a,1590
5133,a,1591
10491,a,1592
8037,a,1593
10100,a,1594
8271,a,1595
7518,a,1596
6435,a,1597
10778,a,1598
7924,a,1599
8757,a,1600
7101,a,1601
6394,a,1602
6970,a,1603
9737,a,1604
12382,a,1605
12234,a,1606
11983,a,1607
11203,a,1608
9759,a,1609
5425,a,1610
9944,a,1611
9132,a,1612
10071,a,1613
11257,a,1614
10913,a,1615
7802,a,1616
6173,a,1617
9938,a,1618
10996,a,1619
11019,a,1620
10605,a,1621
10939,a,1622
8672,a,1623
7047,a,1624
9482,a,1625
11268,a,1626
11569,a,1627
7529,a,1628
8444,a,1629
7103,a,1630
7260,a,1631
10357,a,1632
11170,a,1633
11172,a,1634
7928,a,1635
11024,a,1636
8529,a,1637
6901,a,1638
10221,a,1639
10182,a,1640
10522,a,1641
11069,a,1642
10132,a,1643
6584,a,1644
5178,a,1645
4460,a,1646
3025,a,1647
6621,a,1648
7433,a,1649
7643,a,1650
5834,a,1651
5415,a,1652
5001,a,1653
3861,a,1654
6561,a,1655
7626,a,1656
7944,a,1657
6365,a,1658
4861,a,1659
5594,a,1660
9465,a,1661
10114,a,1662
9805,a,1663
9464,a,1664
7142,a,1665
6305,a,1666
9412,a,1667
10174,a,1668
10251,a,1669
9710,a,1670
9364,a,1671
4499,a,1672
5516,a,1673
9240,a,1674
8496,a,1675
9762,a,1676
11130,a,1677
11559,a,1678
8599,a,1679
7435,a,1680
10096,a,1681
10228,a,1682
9110,a,1683
9663,a,1684
8541,a,1685
7108,a,1686
6923,a,1687
9674,a,1688
10904,a,1689
11056,a,1690
11302,a,1691
11152,a,1692
7985,a,1693
6557,a,1694
10329,a,1695
11111,a,1696
11464,a,1697
11610,a,1698
11373,a,1699
8593,a,1700
7693,a,1701
10373,a,1702
11483,a,1703
11500,a,1704
11872,a,1705
11839,a,1706
8488,a,1707
7983,a,1708
10992,a,1709
12106,a,1710
12236,a,1711
12421,a,1712
12120,a,1713
9072,a,1714
7823,a,1715
10353,a,1716
11698,a,1717
8297,a,1718
11314,a,1719
12143,a,1720
8810,a,1721
8692,a,1722
11742,a,1723
12550,a,1724
12183,a,1725
12505,a,1726
12769,a,1727
9608,a,1728
8581,a,1729
10792,a,1730
11555,a,1731
12122,a,1732
12386,a,1733
12485,a,1734
9155,a,1735
8710,a,1736
11744,a,1737
12445,a,1738
12627,a,1739
12802,a,1740
12338,a,1741
9135,a,1742
6147,a,1743
10966,a,1744
11962,a,1745
12140,a,1746
12213,a,1747
7439,a,1748
6238,a,1749
5791,a,1750
8738,a,1751
9870,a,1752
11537,a,1753
12027,a,1754
12087,a,1755
8770,a,1756
8051,a,1757
9637,a,1758
10008,a,1759
8307,a,1760
1901,a,1761
2172,a,1762
4566,a,1763
4830,a,1764
10112,a,1765
8419,a,1766
3134,a,1767
10569,a,1768
12376,a,1769
10395,a,1770
9979,a,1771
12586,a,1772
13121,a,1773
8082,a,1774
7932,a,1775
9221,a,1776
8076,a,1777
8009,a,1778
12335,a,1779
13526,a,1780
12563,a,1781
13691,a,1782
13840,a,1783
11106,a,1784
10161,a,1785
13480,a,1786
14914,a,1787
11713,a,1788
13957,a,1789
12207,a,1790
9319,a,1791
9224,a,1792
12781,a,1793
13980,a,1794
14572,a,1795
14757,a,1796
14817,a,1797
10542,a,1798
10303,a,1799
13653,a,1800
14275,a,1801
14463,a,1802
15008,a,1803
14481,a,1804
10591,a,1805
10018,a,1806
13772,a,1807
14932,a,1808
14332,a,1809
14781,a,1810
13823,a,1811
10153,a,1812
9557,a,1813
13507,a,1814
13800,a,1815
14508,a,1816
14838,a,1817
14310,a,1818
9846,a,1819
9136,a,1820
13561,a,1821
14844,a,1822
14928,a,1823
15290,a,1824
14502,a,1825
9816,a,1826
9424,a,1827
13631,a,1828
14860,a,1829
15019,a,1830
14900,a,1831
13831,a,1832
9476,a,1833
8632,a,1834
13441,a,1835
14230,a,1836
14387,a,1837
14630,a,1838
13438,a,1839
8713,a,1840
8041,a,1841
12783,a,1842
13998,a,1843
14142,a,1844
13898,a,1845
12638,a,1846
8250,a,1847
7819,a,1848
12185,a,1849
13445,a,1850
13966,a,1851
14031,a,1852
12509,a,1853
7846,a,1854
7193,a,1855
12247,a,1856
12313,a,1857
13474,a,1858
13379,a,1859
12278,a,1860
7986,a,1861
7408,a,1862
11894,a,1863
12764,a,1864
12540,a,1865
12306,a,1866
10859,a,1867
6990,a,1868
6611,a,1869
9735,a,1870
10659,a,1871
10950,a,1872
10538,a,1873
